27/06/2022 13:24:51.83 [Information] -------------------------------
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistPC\EncoderMastering.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistPC\SimuMastering.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\loadDataDevice.ini'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrCncAdapter.ini'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrEmily.ini'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrJointOffset.ini'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrSignalMonitor.ini'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrStandStill.ini'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrVwAscii.ini'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\motiondrv.ini'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistCIB\Readme.txt'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistPDS\Readme.txt'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistRDC\Readme.txt'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\VxWin\knet.config'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\KrlModSize.bin'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistPC\KrcRrtLog.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Posicao_de_Transporte.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Posicao_de_Transporte.src'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Modules_SysBusDriver.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SysBusDriver.xml'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Posis.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Posis.src'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP10.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP10.src'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP20.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP20.src'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP30.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP30.src'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP60.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Retira_Master_OP60.src'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Deposita_Master_OP60.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\Master\Rotinas\Deposita_Master_OP60.src'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_Func.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_Func.src'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_Signal.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_sps.sub'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_Data.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_User.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Grp_User.src'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Spot_Data.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Spot_User.dat'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\GripperSpotTech\Spot_User.src'
27/06/2022 13:24:53.38 [Information] [GripperSpotTech]	Execute file manipulations mode Installation
27/06/2022 13:24:53.40 [Information] Extract file manipulation action contents and execute file manipulations for 'GeneralDel'
27/06/2022 13:24:53.40 [Information] Execute file manipulation action 'InstallGeneral.del'
27/06/2022 13:24:53.40 [Information] Determining which file manipulation mechanism to use
27/06/2022 13:24:53.40 [Information] Prepare content of file manipulation action 'InstallGeneral.del'
27/06/2022 13:24:53.43 [Information] 	-New mechanism supported
27/06/2022 13:24:53.46 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:24:53.51 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:24:53.51 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
27/06/2022 13:24:53.51 [Information] Found nothing to cut for action RemoveAllGripperTechFolds in target file.
